time,pm2.5_pre,pm10_pre,pm2.5_post,pm10_post,pressure,temperature,humidity,co2,tvoc,fan
2021/03/01 17:08:46,1.7,6.1,1.4,9.5,-1,-1,-1,-1,-1,0.2
2021/03/01 17:08:47,1.7,6.1,1.4,9.4,-1,-1,-1,-1,-1,0.2
2021/03/01 17:08:48,1.7,6.0,1.4,9.4,-1,-1,-1,-1,-1,0.2
2021/03/01 17:08:49,1.6,5.5,1.4,9.2,-1,-1,-1,-1,-1,0.2
2021/03/01 17:08:51,1.6,4.9,1.4,9.2,-1,-1,-1,-1,-1,0.2
2021/03/01 17:08:52,1.6,4.6,1.4,9.5,-1,-1,-1,-1,-1,0.2
2021/03/01 17:08:53,1.6,5.1,1.4,9.2,-1,-1,-1,-1,-1,0.2
2021/03/01 17:08:54,1.6,4.8,1.4,10.3,-1,-1,-1,-1,-1,0.2
2021/03/01 17:08:55,1.6,4.9,1.4,11.4,-1,-1,-1,-1,-1,0.2
2021/03/01 17:08:56,1.6,4.8,1.5,10.7,-1,-1,-1,-1,-1,0.2
2021/03/01 17:08:57,1.6,4.8,1.4,9.9,-1,-1,-1,-1,-1,0.2
2021/03/01 17:08:58,1.6,4.9,1.4,9.8,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:00,1.6,4.9,1.4,9.8,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:01,1.6,5.2,1.4,9.2,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:02,1.7,5.3,1.3,8.6,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:03,1.7,5.3,1.3,8.5,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:04,1.7,5.3,1.2,8.4,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:06,1.7,5.4,1.2,8.3,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:07,1.8,5.6,1.2,8.1,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:08,1.8,6.0,1.2,8.1,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:09,1.8,6.0,1.2,8.1,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:10,1.8,5.8,1.2,6.7,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:12,1.8,6.2,1.2,6.7,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:13,1.7,5.2,1.2,6.9,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:14,1.7,5.4,1.2,6.8,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:15,1.7,5.3,1.2,6.7,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:16,1.6,5.1,1.2,6.6,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:18,1.6,5.1,1.2,7.0,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:19,1.7,5.6,1.2,7.0,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:20,1.7,5.6,1.2,6.9,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:21,1.7,5.6,1.2,5.9,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:22,1.6,5.1,1.2,6.3,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:24,1.8,5.3,1.2,6.2,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:25,1.8,5.6,1.2,5.3,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:26,1.8,6.4,1.1,5.3,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:27,1.8,6.7,1.1,5.3,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:28,1.8,6.6,1.2,5.5,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:29,1.8,6.6,1.2,5.5,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:31,1.8,6.9,1.2,7.0,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:32,1.8,6.6,1.2,7.0,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:33,1.8,6.6,1.2,6.9,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:34,1.8,6.8,1.2,6.7,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:35,1.7,6.9,1.3,6.7,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:36,1.7,7.2,1.3,6.6,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:37,1.6,7.6,1.3,6.6,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:38,1.6,7.9,1.3,6.5,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:39,1.6,7.9,1.3,6.4,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:40,1.6,8.3,1.3,6.7,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:42,1.6,7.8,1.3,6.7,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:43,1.6,7.6,1.3,6.9,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:44,1.6,7.3,1.2,7.0,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:45,1.6,7.4,1.2,6.9,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:46,1.6,7.3,1.2,6.9,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:48,1.5,7.2,1.2,7.3,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:49,1.5,7.5,1.2,7.3,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:50,1.5,7.4,1.3,7.8,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:51,1.5,7.4,1.3,7.8,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:52,1.5,7.0,1.3,7.4,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:54,1.4,6.9,1.2,6.4,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:55,1.4,6.7,1.3,6.4,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:56,1.3,5.9,1.3,7.0,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:57,1.4,5.6,1.3,6.9,-1,-1,-1,-1,-1,0.2
2021/03/01 17:09:58,1.4,5.6,1.2,6.8,-1,-1,-1,-1,-1,0.2
2021/03/01 17:10:00,1.3,5.6,1.2,8.1,-1,-1,-1,-1,-1,0.2
2021/03/01 17:10:01,1.3,5.2,1.2,6.7,-1,-1,-1,-1,-1,0.2
2021/03/01 17:10:02,1.3,5.5,1.2,6.7,-1,-1,-1,-1,-1,0.2
