time,pm2.5,pm10,fan
2021/01/20-19:21:28,4.30,24.00,3
2021/01/20-19:21:30,4.40,24.30,3
2021/01/20-19:21:31,4.50,24.80,3
2021/01/20-19:21:32,4.60,25.70,3
2021/01/20-19:21:33,4.70,26.10,3
2021/01/20-19:21:34,4.90,26.80,3
2021/01/20-19:21:35,5.10,27.90,3
2021/01/20-19:21:36,5.30,29.00,3
2021/01/20-19:21:37,5.60,31.40,3
2021/01/20-19:21:38,5.70,33.00,3
2021/01/20-19:21:39,5.60,32.80,3
2021/01/20-19:21:40,5.60,32.70,3
2021/01/20-19:21:41,5.50,32.30,3
2021/01/20-19:21:42,5.50,32.10,3
2021/01/20-19:21:43,5.40,31.60,3
2021/01/20-19:21:44,5.30,30.60,3
2021/01/20-19:21:45,5.50,30.80,3
2021/01/20-19:21:46,5.50,29.20,3
2021/01/20-19:21:47,5.50,28.80,3
2021/01/20-19:21:48,5.60,29.00,3
2021/01/20-19:21:49,5.80,29.80,3
2021/01/20-19:21:50,5.80,29.50,3
2021/01/20-19:21:51,5.90,31.60,3
2021/01/20-19:21:52,6.00,32.10,3
2021/01/20-19:21:53,5.90,31.70,3
2021/01/20-19:21:54,5.90,31.80,3
2021/01/20-19:21:55,5.90,31.00,3
2021/01/20-19:21:56,5.90,30.40,3
2021/01/20-19:21:57,5.90,30.70,3
2021/01/20-19:21:58,5.90,30.80,3
2021/01/20-19:21:59,5.80,29.70,3
2021/01/20-19:22:00,5.70,28.90,3
2021/01/20-19:22:01,5.70,29.20,3
2021/01/20-19:22:02,5.50,28.80,3
2021/01/20-19:22:03,5.40,27.40,3
2021/01/20-19:22:04,5.20,27.10,3
2021/01/20-19:22:05,5.10,24.50,3
2021/01/20-19:22:06,5.00,23.40,3
2021/01/20-19:22:07,4.80,21.50,3
2021/01/20-19:22:08,4.90,21.00,3
2021/01/20-19:22:09,5.20,24.00,3
2021/01/20-19:22:10,5.40,25.20,3
2021/01/20-19:22:11,5.50,25.00,3
2021/01/20-19:22:12,5.50,25.30,3
2021/01/20-19:22:13,5.60,25.50,3
2021/01/20-19:22:14,5.70,25.90,3
2021/01/20-19:22:15,5.60,26.00,3
2021/01/20-19:22:16,5.60,26.50,3
2021/01/20-19:22:17,5.80,26.70,3
2021/01/20-19:22:18,5.80,28.70,3
2021/01/20-19:22:19,5.60,27.90,3
2021/01/20-19:22:20,5.60,28.00,3
2021/01/20-19:22:21,5.70,26.40,3
2021/01/20-19:22:22,5.80,26.50,3
2021/01/20-19:22:23,6.00,27.70,3
2021/01/20-19:22:24,6.10,29.10,3
2021/01/20-19:22:25,6.20,32.30,3
2021/01/20-19:22:26,6.20,32.80,3
2021/01/20-19:22:27,6.20,32.40,3
2021/01/20-19:22:28,6.30,32.70,3
2021/01/20-19:22:29,6.40,33.90,3
2021/01/20-19:22:30,6.50,34.50,3
2021/01/20-19:22:31,6.50,34.10,3
2021/01/20-19:22:32,6.50,33.30,3
2021/01/20-19:22:33,6.50,32.70,3
2021/01/20-19:22:34,6.40,32.50,3
2021/01/20-19:22:35,6.40,33.00,3
2021/01/20-19:22:36,6.20,33.00,3
2021/01/20-19:22:37,6.20,33.20,3
2021/01/20-19:22:38,6.10,32.10,3
2021/01/20-19:22:39,5.90,29.40,3
2021/01/20-19:22:40,5.90,29.90,3
2021/01/20-19:22:41,6.10,30.60,3
2021/01/20-19:22:42,6.10,30.90,3
2021/01/20-19:22:43,6.30,32.30,3
2021/01/20-19:22:44,6.50,32.70,3
2021/01/20-19:22:45,6.50,32.70,3
2021/01/20-19:22:46,6.40,32.50,3
2021/01/20-19:22:47,6.50,33.00,3
2021/01/20-19:22:48,6.40,30.90,3
2021/01/20-19:22:49,6.30,30.80,3
2021/01/20-19:22:50,6.30,31.10,3
2021/01/20-19:22:51,6.30,31.40,3
2021/01/20-19:22:52,6.20,30.50,3
2021/01/20-19:22:53,6.10,29.90,3
2021/01/20-19:22:54,6.10,28.70,3
2021/01/20-19:22:55,6.20,26.10,3
2021/01/20-19:22:56,6.20,25.70,3
2021/01/20-19:22:57,6.60,28.10,3
2021/01/20-19:22:58,6.70,28.40,3
2021/01/20-19:22:59,6.80,29.10,3
2021/01/20-19:23:00,6.90,29.20,3
2021/01/20-19:23:01,7.00,29.80,3
2021/01/20-19:23:02,7.10,30.30,3
2021/01/20-19:23:03,7.30,32.60,3
2021/01/20-19:23:04,7.40,32.20,3
2021/01/20-19:23:05,7.60,32.50,3
2021/01/20-19:23:06,7.80,34.00,3
2021/01/20-19:23:07,7.70,34.20,3
2021/01/20-19:23:08,7.80,35.80,3
2021/01/20-19:23:09,7.90,36.90,3
2021/01/20-19:23:10,7.80,35.80,3
2021/01/20-19:23:11,7.60,35.20,3
2021/01/20-19:23:12,7.60,35.60,3
2021/01/20-19:23:13,7.50,34.50,3
2021/01/20-19:23:14,7.40,34.60,3
2021/01/20-19:23:15,7.30,34.30,3
2021/01/20-19:23:16,7.40,34.80,3
2021/01/20-19:23:17,7.30,34.60,3
2021/01/20-19:23:18,7.40,34.80,3
2021/01/20-19:23:19,7.40,35.00,3
2021/01/20-19:23:20,7.50,35.20,3
2021/01/20-19:23:21,7.50,35.20,3
2021/01/20-19:23:22,7.60,35.40,3
