time,pm2.5,pm10
2021/01/11-12:06:20,0.60,1.50
2021/01/11-12:06:22,0.60,1.50
2021/01/11-12:06:23,0.60,1.40
2021/01/11-12:06:24,0.60,1.40
2021/01/11-12:06:25,0.60,1.40
2021/01/11-12:06:26,0.60,1.30
2021/01/11-12:06:27,0.60,1.40
2021/01/11-12:06:28,0.60,1.40
2021/01/11-12:06:29,0.60,1.30
2021/01/11-12:06:30,0.60,1.30
2021/01/11-12:06:31,0.50,1.20
2021/01/11-12:06:32,0.60,1.20
2021/01/11-12:06:33,0.60,1.20
2021/01/11-12:06:34,0.50,1.10
2021/01/11-12:06:35,0.60,1.20
2021/01/11-12:06:36,0.50,1.20
2021/01/11-12:06:37,0.50,1.20
2021/01/11-12:06:38,0.50,1.20
2021/01/11-12:06:39,0.50,1.10
2021/01/11-12:06:40,0.50,1.20
2021/01/11-12:06:41,0.50,0.90
2021/01/11-12:06:42,0.50,0.90
2021/01/11-12:06:43,0.50,0.90
2021/01/11-12:06:44,0.50,0.90
2021/01/11-12:06:45,0.50,0.90
2021/01/11-12:06:46,0.50,1.00
2021/01/11-12:06:47,0.50,1.00
2021/01/11-12:06:48,0.60,1.10
2021/01/11-12:06:49,0.50,1.10
2021/01/11-12:06:50,0.50,1.10
2021/01/11-12:06:51,0.60,1.30
2021/01/11-12:06:52,0.50,1.20
2021/01/11-12:06:53,0.50,1.20
2021/01/11-12:06:54,0.50,1.20
2021/01/11-12:06:55,0.50,1.10
2021/01/11-12:06:56,0.50,1.20
2021/01/11-12:06:57,0.50,1.20
2021/01/11-12:06:58,0.50,1.30
2021/01/11-12:06:59,0.60,1.30
2021/01/11-12:07:00,0.50,1.30
2021/01/11-12:07:01,0.50,1.20
2021/01/11-12:07:02,0.60,1.40
2021/01/11-12:07:03,0.60,1.40
2021/01/11-12:07:04,0.60,1.40
2021/01/11-12:07:05,0.60,1.50
2021/01/11-12:07:06,0.60,1.50
2021/01/11-12:07:07,0.60,1.50
2021/01/11-12:07:08,0.60,1.50
2021/01/11-12:07:09,0.60,1.60
2021/01/11-12:07:10,0.60,1.60
2021/01/11-12:07:11,0.60,1.80
2021/01/11-12:07:12,0.60,1.70
2021/01/11-12:07:13,0.60,1.80
2021/01/11-12:07:14,0.60,1.80
2021/01/11-12:07:15,0.60,1.80
2021/01/11-12:07:16,0.60,1.70
2021/01/11-12:07:17,0.60,1.70
2021/01/11-12:07:18,0.60,1.50
2021/01/11-12:07:19,0.60,1.50
2021/01/11-12:07:20,0.60,1.50
2021/01/11-12:07:21,0.60,1.40
2021/01/11-12:07:22,0.60,1.50
2021/01/11-12:07:23,0.60,1.50
2021/01/11-12:07:24,0.60,1.50
2021/01/11-12:07:25,0.60,1.50
2021/01/11-12:07:26,0.60,1.40
2021/01/11-12:07:27,0.60,1.40
2021/01/11-12:07:28,0.60,1.30
2021/01/11-12:07:29,0.60,1.30
2021/01/11-12:07:30,0.60,1.30
2021/01/11-12:07:31,0.60,1.40
2021/01/11-12:07:32,0.60,1.20
2021/01/11-12:07:33,0.60,1.20
2021/01/11-12:07:34,0.60,1.20
2021/01/11-12:07:35,0.60,1.20
2021/01/11-12:07:36,0.60,1.20
2021/01/11-12:07:37,0.60,1.10
2021/01/11-12:07:38,0.60,1.10
2021/01/11-12:07:39,0.50,1.10
2021/01/11-12:07:40,0.60,1.30
2021/01/11-12:07:41,0.50,1.10
2021/01/11-12:07:42,0.50,1.10
2021/01/11-12:07:43,0.50,1.00
2021/01/11-12:07:44,0.50,1.10
2021/01/11-12:07:45,0.50,1.00
2021/01/11-12:07:46,0.50,1.00
2021/01/11-12:07:47,0.50,1.10
2021/01/11-12:07:48,0.50,1.10
2021/01/11-12:07:49,0.50,1.10
2021/01/11-12:07:50,0.50,1.10
2021/01/11-12:07:51,0.50,1.00
2021/01/11-12:07:52,0.50,1.00
2021/01/11-12:07:53,0.50,1.00
2021/01/11-12:07:54,0.50,0.90
2021/01/11-12:07:55,0.50,0.90
2021/01/11-12:07:56,0.50,1.10
2021/01/11-12:07:57,0.50,1.80
2021/01/11-12:07:58,0.50,2.10
2021/01/11-12:07:59,0.70,2.60
2021/01/11-12:08:00,0.70,3.30
