time,pm2.5,pm10
2021/01/11-14:06:02,0.80,2.60
2021/01/11-14:06:04,0.70,1.80
2021/01/11-14:06:05,0.60,1.50
2021/01/11-14:06:06,0.60,5.20
2021/01/11-14:06:07,0.70,5.40
2021/01/11-14:06:08,0.60,4.60
2021/01/11-14:06:09,0.60,4.00
2021/01/11-14:06:10,0.60,3.90
2021/01/11-14:06:11,0.60,3.60
2021/01/11-14:06:12,0.60,3.30
2021/01/11-14:06:13,0.60,3.10
2021/01/11-14:06:14,0.60,3.10
2021/01/11-14:06:15,0.60,3.80
2021/01/11-14:06:16,0.60,3.60
2021/01/11-14:06:17,0.60,3.70
2021/01/11-14:06:18,0.60,3.50
2021/01/11-14:06:19,0.60,3.40
2021/01/11-14:06:20,0.60,3.30
2021/01/11-14:06:21,0.60,3.30
2021/01/11-14:06:22,0.60,3.20
2021/01/11-14:06:23,0.60,3.00
2021/01/11-14:06:24,0.60,3.00
2021/01/11-14:06:25,0.60,2.90
2021/01/11-14:06:26,0.60,2.80
2021/01/11-14:06:27,0.60,2.80
2021/01/11-14:06:28,0.60,2.70
2021/01/11-14:06:29,0.60,2.90
2021/01/11-14:06:30,0.60,3.00
2021/01/11-14:06:31,0.70,3.20
2021/01/11-14:06:32,0.70,3.10
2021/01/11-14:06:33,0.70,3.00
2021/01/11-14:06:34,0.70,3.00
2021/01/11-14:06:35,0.70,3.00
2021/01/11-14:06:36,0.60,2.30
2021/01/11-14:06:37,0.60,2.30
2021/01/11-14:06:38,0.70,2.40
2021/01/11-14:06:39,0.60,2.40
2021/01/11-14:06:40,0.60,2.30
2021/01/11-14:06:41,0.60,2.30
2021/01/11-14:06:42,0.60,2.60
2021/01/11-14:06:43,0.70,3.50
2021/01/11-14:06:44,0.60,3.30
2021/01/11-14:06:45,0.60,3.00
2021/01/11-14:06:46,0.60,2.90
2021/01/11-14:06:47,0.60,2.90
2021/01/11-14:06:48,0.70,3.00
2021/01/11-14:06:49,0.70,3.20
2021/01/11-14:06:50,0.70,3.20
2021/01/11-14:06:51,0.70,3.10
2021/01/11-14:06:52,0.70,3.10
2021/01/11-14:06:53,0.70,3.80
2021/01/11-14:06:54,0.70,3.90
2021/01/11-14:06:55,0.70,4.00
2021/01/11-14:06:56,0.70,4.10
2021/01/11-14:06:57,0.70,4.00
2021/01/11-14:06:58,0.70,4.20
2021/01/11-14:06:59,0.70,4.10
2021/01/11-14:07:00,0.70,4.00
2021/01/11-14:07:01,0.60,4.50
2021/01/11-14:07:02,0.60,4.50
2021/01/11-14:07:03,0.60,4.60
2021/01/11-14:07:04,0.60,4.60
2021/01/11-14:07:05,0.70,4.90
2021/01/11-14:07:06,0.70,5.20
2021/01/11-14:07:07,0.70,5.20
2021/01/11-14:07:08,0.70,5.30
2021/01/11-14:07:09,0.70,5.30
2021/01/11-14:07:10,0.70,5.30
2021/01/11-14:07:12,0.70,5.20
2021/01/11-14:07:13,0.70,4.90
2021/01/11-14:07:14,0.70,4.00
2021/01/11-14:07:15,0.70,4.10
2021/01/11-14:07:16,0.70,4.30
2021/01/11-14:07:17,0.70,4.30
2021/01/11-14:07:18,0.70,4.20
2021/01/11-14:07:19,0.60,4.20
2021/01/11-14:07:20,0.70,4.40
2021/01/11-14:07:21,0.80,4.60
2021/01/11-14:07:22,0.80,4.70
2021/01/11-14:07:23,0.80,4.70
2021/01/11-14:07:24,0.80,4.10
2021/01/11-14:07:25,0.70,4.20
2021/01/11-14:07:26,0.70,4.10
2021/01/11-14:07:27,0.70,4.00
2021/01/11-14:07:28,0.80,4.20
2021/01/11-14:07:29,0.80,4.10
2021/01/11-14:07:30,0.70,4.00
2021/01/11-14:07:31,0.70,3.90
2021/01/11-14:07:32,0.70,3.20
2021/01/11-14:07:33,0.70,3.20
2021/01/11-14:07:34,0.70,3.20
2021/01/11-14:07:35,0.70,3.20
2021/01/11-14:07:36,0.70,3.00
2021/01/11-14:07:37,0.80,2.80
2021/01/11-14:07:38,0.70,2.60
2021/01/11-14:07:39,0.70,2.60
2021/01/11-14:07:40,0.70,2.60
2021/01/11-14:07:41,0.80,2.60
2021/01/11-14:07:42,0.80,2.70
2021/01/11-14:07:43,0.80,2.70
2021/01/11-14:07:44,0.80,2.80
2021/01/11-14:07:45,0.80,2.80
2021/01/11-14:07:46,0.80,2.60
2021/01/11-14:07:47,0.80,2.70
2021/01/11-14:07:48,0.80,2.70
2021/01/11-14:07:49,0.80,2.60
2021/01/11-14:07:50,0.70,2.20
2021/01/11-14:07:51,0.70,2.00
2021/01/11-14:07:52,0.70,1.90
2021/01/11-14:07:53,0.70,1.80
2021/01/11-14:07:54,0.70,1.90
2021/01/11-14:07:55,0.70,1.50
2021/01/11-14:07:56,0.70,1.50
2021/01/11-14:07:57,0.70,1.60
2021/01/11-14:07:58,0.60,1.40
2021/01/11-14:07:59,0.60,1.40
2021/01/11-14:08:00,0.60,1.50
2021/01/11-14:08:01,0.60,1.90
2021/01/11-14:08:02,0.70,2.10
2021/01/11-14:08:03,0.70,2.10
2021/01/11-14:08:04,0.70,1.90
2021/01/11-14:08:05,0.70,1.90
2021/01/11-14:08:06,0.70,2.00
2021/01/11-14:08:07,0.60,1.90
2021/01/11-14:08:08,0.60,2.00
2021/01/11-14:08:09,0.60,2.00
2021/01/11-14:08:10,0.60,2.00
2021/01/11-14:08:11,0.60,2.40
2021/01/11-14:08:12,0.60,2.30
2021/01/11-14:08:13,0.60,2.40
2021/01/11-14:08:14,0.60,2.20
2021/01/11-14:08:15,0.60,2.10
2021/01/11-14:08:16,0.60,2.40
2021/01/11-14:08:17,0.60,2.40
2021/01/11-14:08:18,0.60,2.80
2021/01/11-14:08:19,0.60,4.70
2021/01/11-14:08:20,0.60,4.70
2021/01/11-14:08:21,0.60,4.70
2021/01/11-14:08:22,0.70,5.20
2021/01/11-14:08:23,0.70,6.00
2021/01/11-14:08:24,0.70,6.00
2021/01/11-14:08:25,0.70,6.20
2021/01/11-14:08:26,0.80,7.10
2021/01/11-14:08:27,0.80,7.10
2021/01/11-14:08:28,0.80,8.70
2021/01/11-14:08:29,0.90,9.40
2021/01/11-14:08:30,1.00,11.50
2021/01/11-14:08:31,1.10,11.40
2021/01/11-14:08:32,1.10,14.20
2021/01/11-14:08:33,1.10,15.50
2021/01/11-14:08:34,1.30,21.10
2021/01/11-14:08:35,1.50,25.50
2021/01/11-14:08:36,1.60,25.60
2021/01/11-14:08:37,1.60,27.30
2021/01/11-14:08:38,1.60,28.40
2021/01/11-14:08:39,1.70,30.70
2021/01/11-14:08:40,1.70,30.70
2021/01/11-14:08:41,1.70,31.10
2021/01/11-14:08:42,1.70,32.10
2021/01/11-14:08:43,1.70,33.10
2021/01/11-14:08:44,1.70,34.50
2021/01/11-14:08:45,1.80,35.20
2021/01/11-14:08:46,1.90,39.60
2021/01/11-14:08:47,1.90,41.00
2021/01/11-14:08:48,2.00,40.90
2021/01/11-14:08:49,1.90,40.40
2021/01/11-14:08:50,2.00,41.60
2021/01/11-14:08:51,2.00,42.40
2021/01/11-14:08:52,2.00,42.10
2021/01/11-14:08:53,2.00,41.50
2021/01/11-14:08:54,2.10,42.80
2021/01/11-14:08:55,2.10,45.80
2021/01/11-14:08:56,2.10,46.60
2021/01/11-14:08:57,2.10,47.50
