time,pm2.5,pm10
2021/01/11-14:19:16,4.30,21.60
2021/01/11-14:19:18,4.20,21.20
2021/01/11-14:19:19,4.30,21.70
2021/01/11-14:19:20,4.40,22.00
2021/01/11-14:19:21,4.30,22.00
2021/01/11-14:19:22,4.30,22.00
2021/01/11-14:19:23,4.40,21.70
2021/01/11-14:19:24,4.40,21.20
2021/01/11-14:19:25,4.20,20.90
2021/01/11-14:19:26,4.30,21.20
2021/01/11-14:19:27,4.30,21.70
2021/01/11-14:19:28,4.40,21.60
2021/01/11-14:19:29,4.40,22.00
2021/01/11-14:19:30,4.50,21.30
2021/01/11-14:19:31,4.50,21.30
2021/01/11-14:19:32,4.60,21.00
2021/01/11-14:19:33,4.70,21.50
2021/01/11-14:19:34,4.70,21.90
2021/01/11-14:19:35,4.70,22.00
2021/01/11-14:19:36,4.70,22.10
2021/01/11-14:19:37,4.80,22.40
2021/01/11-14:19:38,4.80,24.30
2021/01/11-14:19:39,4.90,24.30
2021/01/11-14:19:40,4.90,24.10
2021/01/11-14:19:41,5.00,24.00
2021/01/11-14:19:42,5.00,24.20
2021/01/11-14:19:43,5.00,24.10
2021/01/11-14:19:44,5.00,24.00
2021/01/11-14:19:45,5.00,23.60
2021/01/11-14:19:46,5.10,23.00
2021/01/11-14:19:47,5.20,22.90
2021/01/11-14:19:48,5.30,24.00
2021/01/11-14:19:49,5.20,23.60
2021/01/11-14:19:50,5.10,23.40
2021/01/11-14:19:51,5.20,23.20
2021/01/11-14:19:52,5.20,23.40
2021/01/11-14:19:53,5.20,24.60
2021/01/11-14:19:54,5.20,24.70
2021/01/11-14:19:55,5.30,24.40
2021/01/11-14:19:56,5.20,24.20
2021/01/11-14:19:57,5.20,24.50
2021/01/11-14:19:58,5.30,25.30
2021/01/11-14:19:59,5.30,25.40
2021/01/11-14:20:00,5.30,26.10
2021/01/11-14:20:01,5.30,26.00
2021/01/11-14:20:02,5.30,26.80
2021/01/11-14:20:03,5.20,25.90
2021/01/11-14:20:04,5.20,25.40
2021/01/11-14:20:05,5.10,25.00
2021/01/11-14:20:06,5.00,24.60
2021/01/11-14:20:07,4.90,23.90
2021/01/11-14:20:08,5.00,22.30
2021/01/11-14:20:09,4.90,22.60
2021/01/11-14:20:10,4.90,23.40
2021/01/11-14:20:11,4.70,22.40
2021/01/11-14:20:12,4.60,21.50
2021/01/11-14:20:13,4.60,21.80
2021/01/11-14:20:14,4.60,22.10
2021/01/11-14:20:15,4.60,22.70
2021/01/11-14:20:16,4.50,22.40
2021/01/11-14:20:17,4.70,22.60
2021/01/11-14:20:18,4.60,21.80
2021/01/11-14:20:19,4.70,22.10
2021/01/11-14:20:20,4.60,21.80
2021/01/11-14:20:21,4.70,22.20
2021/01/11-14:20:22,4.60,21.50
2021/01/11-14:20:23,4.50,20.60
2021/01/11-14:20:24,4.40,20.20
2021/01/11-14:20:25,4.50,20.40
2021/01/11-14:20:26,4.50,20.40
2021/01/11-14:20:27,4.40,19.50
2021/01/11-14:20:28,4.40,18.80
2021/01/11-14:20:29,4.40,18.70
2021/01/11-14:20:30,4.50,18.70
2021/01/11-14:20:31,4.40,18.50
2021/01/11-14:20:32,4.30,17.70
2021/01/11-14:20:33,4.20,18.00
2021/01/11-14:20:34,4.30,18.60
2021/01/11-14:20:35,4.40,19.00
2021/01/11-14:20:36,4.40,19.40
2021/01/11-14:20:37,4.50,20.20
2021/01/11-14:20:38,4.50,20.00
2021/01/11-14:20:39,4.60,20.00
2021/01/11-14:20:40,4.50,19.30
2021/01/11-14:20:41,4.50,19.50
2021/01/11-14:20:42,4.50,19.50
2021/01/11-14:20:43,4.50,20.50
2021/01/11-14:20:44,4.50,20.20
2021/01/11-14:20:45,4.50,19.60
2021/01/11-14:20:46,4.50,20.10
2021/01/11-14:20:47,4.30,20.00
2021/01/11-14:20:48,4.20,19.90
2021/01/11-14:20:49,4.20,20.80
2021/01/11-14:20:50,4.20,21.20
2021/01/11-14:20:51,4.20,20.60
2021/01/11-14:20:52,4.40,21.40
2021/01/11-14:20:53,4.30,21.60
2021/01/11-14:20:54,4.30,21.80
2021/01/11-14:20:55,4.30,21.80
2021/01/11-14:20:56,4.30,21.30
2021/01/11-14:20:57,4.30,22.10
2021/01/11-14:20:58,4.20,22.60
2021/01/11-14:20:59,4.20,22.40
2021/01/11-14:21:00,4.10,22.30
2021/01/11-14:21:01,4.10,23.60
2021/01/11-14:21:02,4.20,24.80
2021/01/11-14:21:03,4.30,24.60
2021/01/11-14:21:04,4.20,24.60
2021/01/11-14:21:05,4.20,25.00
2021/01/11-14:21:06,4.20,25.20
2021/01/11-14:21:07,4.20,25.80
2021/01/11-14:21:08,4.20,26.00
2021/01/11-14:21:09,4.20,26.00
2021/01/11-14:21:10,4.20,25.90
2021/01/11-14:21:11,4.30,26.50
2021/01/11-14:21:12,4.30,26.60
2021/01/11-14:21:13,4.20,25.40
2021/01/11-14:21:14,4.20,25.40
2021/01/11-14:21:15,4.20,25.40
2021/01/11-14:21:16,4.10,24.70
2021/01/11-14:21:17,4.10,24.30
2021/01/11-14:21:18,4.20,24.80
2021/01/11-14:21:19,4.10,24.30
2021/01/11-14:21:20,4.10,24.20
2021/01/11-14:21:21,4.10,24.80
2021/01/11-14:21:22,4.00,24.30
2021/01/11-14:21:23,4.00,23.90
2021/01/11-14:21:24,4.10,24.30
2021/01/11-14:21:26,4.20,25.40
2021/01/11-14:21:27,4.20,25.80
2021/01/11-14:21:28,4.20,25.80
2021/01/11-14:21:29,4.20,25.60
2021/01/11-14:21:30,4.20,25.70
2021/01/11-14:21:31,4.20,26.00
2021/01/11-14:21:32,4.20,24.50
2021/01/11-14:21:33,4.10,23.40
2021/01/11-14:21:34,4.20,23.70
2021/01/11-14:21:35,4.10,23.40
2021/01/11-14:21:36,4.10,23.50
2021/01/11-14:21:37,4.10,23.30
2021/01/11-14:21:38,4.10,22.20
2021/01/11-14:21:39,4.10,21.90
2021/01/11-14:21:40,4.10,21.80
2021/01/11-14:21:41,4.10,21.90
2021/01/11-14:21:42,4.10,21.40
2021/01/11-14:21:43,4.10,21.60
2021/01/11-14:21:44,4.10,21.20
2021/01/11-14:21:45,4.10,21.50
2021/01/11-14:21:46,4.20,21.50
2021/01/11-14:21:47,4.30,22.00
2021/01/11-14:21:48,4.30,21.80
2021/01/11-14:21:49,4.20,21.10
2021/01/11-14:21:50,4.20,20.40
2021/01/11-14:21:51,4.20,20.90
2021/01/11-14:21:52,4.20,20.60
2021/01/11-14:21:53,4.30,21.40
2021/01/11-14:21:54,4.30,21.90
2021/01/11-14:21:55,4.20,21.60
2021/01/11-14:21:56,4.10,20.40
2021/01/11-14:21:57,4.10,20.10
2021/01/11-14:21:58,4.20,19.80
2021/01/11-14:21:59,4.10,19.60
2021/01/11-14:22:00,4.20,19.60
2021/01/11-14:22:01,4.20,19.30
2021/01/11-14:22:02,4.20,19.60
2021/01/11-14:22:03,4.20,19.80
2021/01/11-14:22:04,4.20,20.40
2021/01/11-14:22:05,4.20,20.30
2021/01/11-14:22:06,4.20,19.60
2021/01/11-14:22:07,4.20,19.50
2021/01/11-14:22:08,4.20,19.80
2021/01/11-14:22:09,4.20,20.20
2021/01/11-14:22:10,4.20,20.30
2021/01/11-14:22:11,4.20,20.60
2021/01/11-14:22:12,4.20,20.50
2021/01/11-14:22:13,4.20,20.20
2021/01/11-14:22:14,4.20,20.50
2021/01/11-14:22:15,4.20,20.50
2021/01/11-14:22:16,4.20,20.60
2021/01/11-14:22:17,4.00,20.70
2021/01/11-14:22:18,4.10,20.90
2021/01/11-14:22:19,4.10,21.40
2021/01/11-14:22:20,4.10,21.40
2021/01/11-14:22:21,4.10,21.00
2021/01/11-14:22:22,4.10,20.80
2021/01/11-14:22:23,4.00,20.10
2021/01/11-14:22:24,4.00,20.10
2021/01/11-14:22:25,4.00,20.10
2021/01/11-14:22:26,4.00,20.10
2021/01/11-14:22:27,4.00,20.10
2021/01/11-14:22:28,3.90,19.80
2021/01/11-14:22:29,4.00,19.70
2021/01/11-14:22:30,3.90,19.70
2021/01/11-14:22:31,3.90,19.10
2021/01/11-14:22:32,4.00,19.00
2021/01/11-14:22:33,4.10,19.70
2021/01/11-14:22:34,4.00,18.90
2021/01/11-14:22:35,4.00,19.80
2021/01/11-14:22:36,4.10,20.40
2021/01/11-14:22:37,4.10,20.30
2021/01/11-14:22:38,4.00,19.90
2021/01/11-14:22:39,4.00,20.00
2021/01/11-14:22:40,4.00,20.00
2021/01/11-14:22:41,3.90,19.50
2021/01/11-14:22:42,3.90,19.20
2021/01/11-14:22:43,3.80,19.00
2021/01/11-14:22:44,3.80,18.90
2021/01/11-14:22:45,3.80,18.90
2021/01/11-14:22:46,3.80,19.10
2021/01/11-14:22:47,3.80,18.80
2021/01/11-14:22:48,3.90,18.90
2021/01/11-14:22:49,4.00,19.40
2021/01/11-14:22:50,4.00,19.30
2021/01/11-14:22:51,4.10,19.40
2021/01/11-14:22:52,4.00,19.10
2021/01/11-14:22:53,3.90,19.70
2021/01/11-14:22:54,3.90,19.50
2021/01/11-14:22:55,3.90,19.50
2021/01/11-14:22:56,4.00,20.00
2021/01/11-14:22:57,4.10,20.80
2021/01/11-14:22:58,4.10,21.10
2021/01/11-14:22:59,4.10,21.50
2021/01/11-14:23:00,4.10,21.40
2021/01/11-14:23:01,4.10,21.60
2021/01/11-14:23:02,4.00,21.50
2021/01/11-14:23:03,3.90,21.10
2021/01/11-14:23:04,3.90,21.10
2021/01/11-14:23:05,3.90,20.40
2021/01/11-14:23:06,4.00,20.50
2021/01/11-14:23:07,4.00,21.20
2021/01/11-14:23:08,4.00,21.00
2021/01/11-14:23:09,4.00,20.80
2021/01/11-14:23:10,4.00,20.80
2021/01/11-14:23:11,4.00,20.70
2021/01/11-14:23:12,4.00,21.10
2021/01/11-14:23:13,4.10,21.20
2021/01/11-14:23:14,4.10,21.50
2021/01/11-14:23:15,4.10,21.40
2021/01/11-14:23:16,4.10,21.50
