time,pm2.5,pm10,fan
2021/01/20-19:35:00,8.70,28.50,2
2021/01/20-19:35:02,8.70,28.10,2
2021/01/20-19:35:03,8.70,27.90,2
2021/01/20-19:35:04,8.60,27.40,2
2021/01/20-19:35:05,8.70,26.70,2
2021/01/20-19:35:06,8.70,26.60,2
2021/01/20-19:35:07,8.70,27.00,2
2021/01/20-19:35:08,8.60,27.10,2
2021/01/20-19:35:09,8.60,27.10,2
2021/01/20-19:35:10,8.50,26.60,2
2021/01/20-19:35:12,8.50,26.70,2
2021/01/20-19:35:13,8.50,26.40,2
2021/01/20-19:35:14,8.40,26.30,2
2021/01/20-19:35:15,8.30,26.30,2
2021/01/20-19:35:16,8.20,26.20,2
2021/01/20-19:35:17,8.20,24.80,2
2021/01/20-19:35:18,8.20,24.90,2
2021/01/20-19:35:19,8.30,25.00,2
2021/01/20-19:35:20,8.20,24.60,2
2021/01/20-19:35:21,8.10,24.20,2
2021/01/20-19:35:22,7.90,24.10,2
2021/01/20-19:35:23,7.80,22.90,2
2021/01/20-19:35:24,7.90,23.00,2
2021/01/20-19:35:25,7.90,22.90,2
2021/01/20-19:35:26,8.00,23.50,2
2021/01/20-19:35:27,8.00,23.00,2
2021/01/20-19:35:28,8.10,23.10,2
2021/01/20-19:35:29,8.20,23.60,2
2021/01/20-19:35:30,8.20,24.40,2
2021/01/20-19:35:31,8.30,24.90,2
2021/01/20-19:35:32,8.30,24.80,2
2021/01/20-19:35:33,8.30,24.20,2
2021/01/20-19:35:34,8.20,24.30,2
2021/01/20-19:35:35,8.40,25.80,2
2021/01/20-19:35:36,8.30,25.70,2
2021/01/20-19:35:37,8.20,25.80,2
2021/01/20-19:35:38,8.10,24.90,2
2021/01/20-19:35:39,8.20,25.20,2
2021/01/20-19:35:40,8.20,25.20,2
2021/01/20-19:35:41,8.20,25.40,2
2021/01/20-19:35:42,8.10,25.20,2
2021/01/20-19:35:43,8.10,24.80,2
2021/01/20-19:35:44,8.10,24.50,2
2021/01/20-19:35:45,8.00,24.10,2
2021/01/20-19:35:46,8.10,24.10,2
2021/01/20-19:35:47,8.20,24.20,2
2021/01/20-19:35:48,8.10,24.00,2
2021/01/20-19:35:49,8.00,24.20,2
2021/01/20-19:35:50,8.20,24.20,2
2021/01/20-19:35:51,8.20,24.70,2
2021/01/20-19:35:52,8.20,24.30,2
2021/01/20-19:35:53,8.20,25.10,2
2021/01/20-19:35:54,8.20,24.80,2
2021/01/20-19:35:55,8.30,26.40,2
2021/01/20-19:35:56,8.30,25.80,2
2021/01/20-19:35:57,8.20,25.80,2
2021/01/20-19:35:58,8.10,25.70,2
2021/01/20-19:35:59,8.00,25.40,2
2021/01/20-19:36:00,8.00,24.90,2
2021/01/20-19:36:01,8.00,24.60,2
2021/01/20-19:36:02,8.00,25.00,2
2021/01/20-19:36:03,8.00,25.40,2
2021/01/20-19:36:04,8.10,25.40,2
2021/01/20-19:36:05,8.00,25.10,2
2021/01/20-19:36:06,8.10,25.00,2
2021/01/20-19:36:07,8.20,25.30,2
2021/01/20-19:36:08,8.20,25.40,2
2021/01/20-19:36:09,8.10,25.10,2
2021/01/20-19:36:10,8.20,25.50,2
2021/01/20-19:36:11,8.20,25.30,2
2021/01/20-19:36:12,8.20,25.50,2
2021/01/20-19:36:13,8.30,25.70,2
2021/01/20-19:36:14,8.40,25.70,2
2021/01/20-19:36:15,8.50,26.10,2
2021/01/20-19:36:16,8.50,25.90,2
2021/01/20-19:36:17,8.40,26.40,2
2021/01/20-19:36:18,8.50,26.40,2
2021/01/20-19:36:19,8.50,26.30,2
2021/01/20-19:36:20,8.40,26.20,2
2021/01/20-19:36:21,8.50,26.80,2
2021/01/20-19:36:22,8.60,27.20,2
2021/01/20-19:36:23,8.60,26.60,2
2021/01/20-19:36:24,8.50,26.90,2
2021/01/20-19:36:25,8.40,25.70,2
2021/01/20-19:36:26,8.50,25.90,2
2021/01/20-19:36:27,8.40,25.60,2
2021/01/20-19:36:28,8.40,25.80,2
2021/01/20-19:36:29,8.50,25.90,2
2021/01/20-19:36:30,8.50,25.40,2
2021/01/20-19:36:31,8.40,25.50,2
2021/01/20-19:36:32,8.40,24.80,2
2021/01/20-19:36:33,8.40,24.50,2
2021/01/20-19:36:34,8.40,24.40,2
2021/01/20-19:36:35,8.30,23.60,2
2021/01/20-19:36:36,8.20,23.30,2
2021/01/20-19:36:37,8.20,23.10,2
2021/01/20-19:36:38,8.30,23.80,2
2021/01/20-19:36:39,8.30,24.20,2
2021/01/20-19:36:40,8.20,23.60,2
2021/01/20-19:36:41,8.30,23.80,2
2021/01/20-19:36:42,8.30,23.40,2
2021/01/20-19:36:43,8.20,23.20,2
2021/01/20-19:36:44,8.00,22.70,2
2021/01/20-19:36:45,8.10,23.00,2
2021/01/20-19:36:46,8.00,22.90,2
2021/01/20-19:36:47,8.00,22.30,2
2021/01/20-19:36:48,8.00,22.10,2
2021/01/20-19:36:49,8.00,21.70,2
2021/01/20-19:36:50,8.00,22.30,2
2021/01/20-19:36:51,7.90,21.80,2
2021/01/20-19:36:52,7.80,21.50,2
2021/01/20-19:36:53,7.70,21.60,2
2021/01/20-19:36:54,7.70,21.50,2
2021/01/20-19:36:55,7.80,21.30,2
2021/01/20-19:36:56,7.70,21.70,2
2021/01/20-19:36:57,7.70,21.50,2
2021/01/20-19:36:58,7.70,21.50,2
2021/01/20-19:36:59,7.70,21.60,2
2021/01/20-19:37:00,7.70,21.60,2
2021/01/20-19:37:01,7.70,21.30,2
2021/01/20-19:37:02,7.80,21.80,2
2021/01/20-19:37:03,7.80,22.50,2
2021/01/20-19:37:04,7.80,22.30,2
2021/01/20-19:37:05,7.80,23.00,2
2021/01/20-19:37:06,7.90,23.10,2
2021/01/20-19:37:07,7.80,23.10,2
2021/01/20-19:37:08,7.80,22.90,2
2021/01/20-19:37:09,7.80,22.30,2
2021/01/20-19:37:10,7.70,22.70,2
2021/01/20-19:37:11,7.60,22.40,2
2021/01/20-19:37:12,7.60,22.40,2
2021/01/20-19:37:13,7.60,22.60,2
2021/01/20-19:37:14,7.70,23.30,2
2021/01/20-19:37:15,7.70,22.70,2
2021/01/20-19:37:16,7.80,23.00,2
2021/01/20-19:37:17,7.80,23.30,2
2021/01/20-19:37:18,7.90,23.90,2
2021/01/20-19:37:19,7.70,23.60,2
2021/01/20-19:37:20,7.70,22.90,2
2021/01/20-19:37:21,7.70,22.60,2
2021/01/20-19:37:22,7.70,23.10,2
2021/01/20-19:37:23,7.70,22.90,2
2021/01/20-19:37:24,7.70,22.60,2
