time,pm2.5,pm10,fan
2021/01/20-19:53:36,4.00,13.20,1
2021/01/20-19:53:38,3.90,12.40,1
2021/01/20-19:53:39,3.90,12.40,1
2021/01/20-19:53:40,3.90,12.30,1
2021/01/20-19:53:41,3.90,13.00,1
2021/01/20-19:53:42,3.80,12.90,1
2021/01/20-19:53:43,3.80,12.00,1
2021/01/20-19:53:44,3.90,12.40,1
2021/01/20-19:53:45,3.80,12.20,1
2021/01/20-19:53:46,3.80,12.20,1
2021/01/20-19:53:47,3.90,12.60,1
2021/01/20-19:53:48,3.90,12.10,1
2021/01/20-19:53:49,3.90,12.30,1
2021/01/20-19:53:50,3.90,12.60,1
2021/01/20-19:53:51,3.90,12.40,1
2021/01/20-19:53:52,3.80,12.20,1
2021/01/20-19:53:53,3.80,12.40,1
2021/01/20-19:53:54,3.80,12.30,1
2021/01/20-19:53:55,3.90,12.50,1
2021/01/20-19:53:56,3.90,12.60,1
2021/01/20-19:53:57,3.90,12.60,1
2021/01/20-19:53:58,3.90,12.20,1
2021/01/20-19:53:59,3.90,12.10,1
2021/01/20-19:54:00,3.90,12.10,1
2021/01/20-19:54:01,3.90,12.20,1
2021/01/20-19:54:02,3.90,12.40,1
2021/01/20-19:54:03,4.00,12.40,1
2021/01/20-19:54:04,4.00,11.80,1
2021/01/20-19:54:05,3.90,11.60,1
2021/01/20-19:54:06,4.00,11.80,1
2021/01/20-19:54:07,3.90,11.70,1
2021/01/20-19:54:08,4.00,12.00,1
2021/01/20-19:54:09,4.00,12.30,1
2021/01/20-19:54:10,4.00,13.00,1
2021/01/20-19:54:11,4.10,13.00,1
2021/01/20-19:54:12,4.10,12.70,1
2021/01/20-19:54:13,4.10,12.80,1
2021/01/20-19:54:14,4.00,12.30,1
2021/01/20-19:54:15,4.00,12.20,1
2021/01/20-19:54:16,4.00,12.20,1
2021/01/20-19:54:17,3.90,11.90,1
2021/01/20-19:54:18,3.90,12.10,1
2021/01/20-19:54:19,3.90,11.80,1
2021/01/20-19:54:20,4.10,11.80,1
2021/01/20-19:54:21,4.10,11.80,1
2021/01/20-19:54:22,4.20,12.30,1
2021/01/20-19:54:23,4.20,12.10,1
2021/01/20-19:54:24,4.20,12.00,1
2021/01/20-19:54:25,4.10,11.90,1
2021/01/20-19:54:26,4.10,11.70,1
2021/01/20-19:54:27,4.10,11.80,1
2021/01/20-19:54:28,4.10,11.90,1
2021/01/20-19:54:29,4.10,11.90,1
2021/01/20-19:54:30,4.10,11.90,1
2021/01/20-19:54:31,4.10,11.80,1
2021/01/20-19:54:32,4.20,11.70,1
2021/01/20-19:54:33,4.00,11.60,1
2021/01/20-19:54:34,4.10,11.80,1
2021/01/20-19:54:35,4.10,12.50,1
2021/01/20-19:54:36,4.10,13.90,1
2021/01/20-19:54:37,4.10,14.20,1
2021/01/20-19:54:38,4.00,14.10,1
