time,pm2.5,pm10,fan
2021/01/21-17:17:36,1.30,3.90,0
2021/01/21-17:17:38,1.30,3.70,0
2021/01/21-17:17:39,1.30,4.10,0
2021/01/21-17:17:40,1.30,3.90,0
2021/01/21-17:17:41,1.30,4.00,0
2021/01/21-17:17:42,1.30,3.90,0
2021/01/21-17:17:43,1.30,3.90,0
2021/01/21-17:17:44,1.30,3.70,0
2021/01/21-17:17:45,1.20,3.60,0
2021/01/21-17:17:46,1.30,3.50,0
2021/01/21-17:17:47,1.30,3.70,0
2021/01/21-17:17:48,1.30,4.00,0
2021/01/21-17:17:49,1.30,4.00,0
2021/01/21-17:17:50,1.30,4.00,0
2021/01/21-17:17:51,1.30,3.70,0
2021/01/21-17:17:52,1.30,3.60,0
2021/01/21-17:17:53,1.30,3.80,0
2021/01/21-17:17:54,1.30,3.70,0
2021/01/21-17:17:55,1.30,3.80,0
2021/01/21-17:17:56,1.30,3.70,0
2021/01/21-17:17:57,1.20,3.60,0
2021/01/21-17:17:58,1.30,3.70,0
2021/01/21-17:17:59,1.30,3.70,0
2021/01/21-17:18:00,1.30,4.20,0
2021/01/21-17:18:01,1.30,4.10,0
2021/01/21-17:18:02,1.30,4.20,0
2021/01/21-17:18:03,1.30,4.10,0
2021/01/21-17:18:04,1.30,4.20,0
2021/01/21-17:18:05,1.30,4.10,0
2021/01/21-17:18:06,1.30,4.10,0
2021/01/21-17:18:07,1.30,4.20,0
2021/01/21-17:18:08,1.30,4.40,0
2021/01/21-17:18:09,1.30,3.90,0
2021/01/21-17:18:10,1.30,3.90,0
2021/01/21-17:18:11,1.40,4.10,0
2021/01/21-17:18:12,1.30,3.90,0
2021/01/21-17:18:13,1.30,3.80,0
2021/01/21-17:18:14,1.30,3.80,0
2021/01/21-17:18:15,1.40,3.80,0
2021/01/21-17:18:16,1.30,3.80,0
2021/01/21-17:18:17,1.30,3.70,0
2021/01/21-17:18:18,1.30,3.50,0
2021/01/21-17:18:19,1.30,3.70,0
2021/01/21-17:18:20,1.30,3.80,0
2021/01/21-17:18:21,1.30,3.90,0
2021/01/21-17:18:22,1.30,3.90,0
2021/01/21-17:18:23,1.30,3.60,0
2021/01/21-17:18:24,1.20,3.50,0
2021/01/21-17:18:25,1.20,3.40,0
2021/01/21-17:18:26,1.20,3.40,0
2021/01/21-17:18:27,1.20,3.40,0
2021/01/21-17:18:28,1.20,3.20,0
2021/01/21-17:18:29,1.20,3.10,0
2021/01/21-17:18:30,1.20,2.80,0
2021/01/21-17:18:31,1.20,3.10,0
2021/01/21-17:18:32,1.10,3.00,0
2021/01/21-17:18:33,1.10,3.00,0
2021/01/21-17:18:34,1.10,2.80,0
2021/01/21-17:18:35,1.10,2.90,0
2021/01/21-17:18:36,1.10,2.90,0
2021/01/21-17:18:37,1.10,2.80,0
2021/01/21-17:18:38,1.10,2.60,0
2021/01/21-17:18:39,1.10,2.70,0
2021/01/21-17:18:40,1.10,2.70,0
2021/01/21-17:18:41,1.10,2.50,0
2021/01/21-17:18:42,1.10,2.50,0
2021/01/21-17:18:43,1.10,3.00,0
2021/01/21-17:18:44,1.10,3.00,0
2021/01/21-17:18:45,1.10,3.00,0
2021/01/21-17:18:46,1.30,3.20,0
2021/01/21-17:18:47,1.30,3.30,0
2021/01/21-17:18:48,1.30,3.30,0
2021/01/21-17:18:49,1.30,3.50,0
2021/01/21-17:18:50,1.30,3.30,0
2021/01/21-17:18:51,1.30,3.30,0
2021/01/21-17:18:52,1.30,3.30,0
2021/01/21-17:18:53,1.40,3.40,0
2021/01/21-17:18:54,1.40,3.40,0
2021/01/21-17:18:55,1.40,3.50,0
2021/01/21-17:18:56,1.40,3.50,0
2021/01/21-17:18:57,1.40,3.50,0
