time,pm2.5,pm10,fan
2021/01/23-12:17:08,7.00,32.40,3
2021/01/23-12:17:10,7.10,33.50,3
2021/01/23-12:17:11,7.10,33.50,3
2021/01/23-12:17:12,7.00,33.10,3
2021/01/23-12:17:13,7.10,33.30,3
2021/01/23-12:17:14,7.20,34.40,3
2021/01/23-12:17:15,7.10,34.50,3
2021/01/23-12:17:16,7.20,34.40,3
2021/01/23-12:17:17,7.20,34.70,3
2021/01/23-12:17:18,7.30,35.20,3
2021/01/23-12:17:19,7.30,34.70,3
2021/01/23-12:17:20,7.30,35.10,3
2021/01/23-12:17:21,7.30,35.00,3
2021/01/23-12:17:22,7.30,34.50,3
2021/01/23-12:17:23,7.10,34.20,3
2021/01/23-12:17:24,7.00,34.60,3
2021/01/23-12:17:25,7.00,36.60,3
2021/01/23-12:17:26,7.00,37.90,3
2021/01/23-12:17:27,6.90,37.70,3
2021/01/23-12:17:28,6.90,37.30,3
2021/01/23-12:17:29,6.80,38.10,3
2021/01/23-12:17:30,6.70,38.00,3
2021/01/23-12:17:31,6.80,38.60,3
2021/01/23-12:17:32,6.90,39.20,3
2021/01/23-12:17:33,6.80,39.30,3
2021/01/23-12:17:34,6.70,39.60,3
2021/01/23-12:17:35,6.60,39.60,3
2021/01/23-12:17:36,6.70,40.60,3
2021/01/23-12:17:37,6.60,40.70,3
2021/01/23-12:17:38,6.70,41.00,3
2021/01/23-12:17:39,6.70,39.90,3
2021/01/23-12:17:40,6.70,39.90,3
2021/01/23-12:17:41,6.60,39.30,3
2021/01/23-12:17:42,6.50,38.90,3
2021/01/23-12:17:43,6.40,38.20,3
2021/01/23-12:17:44,6.30,37.20,3
2021/01/23-12:17:45,6.10,37.40,3
2021/01/23-12:17:46,6.10,37.10,3
2021/01/23-12:17:47,6.00,35.90,3
2021/01/23-12:17:48,5.80,35.00,3
2021/01/23-12:17:49,5.70,34.70,3
2021/01/23-12:17:50,5.60,34.20,3
2021/01/23-12:17:51,5.50,34.10,3
2021/01/23-12:17:52,5.50,34.10,3
2021/01/23-12:17:53,5.40,34.50,3
2021/01/23-12:17:54,5.40,34.10,3
2021/01/23-12:17:55,5.40,32.20,3
2021/01/23-12:17:56,5.30,30.80,3
2021/01/23-12:17:57,5.30,30.70,3
2021/01/23-12:17:58,5.20,30.90,3
2021/01/23-12:17:59,5.30,30.00,3
2021/01/23-12:18:00,5.40,30.10,3
2021/01/23-12:18:01,5.20,28.80,3
2021/01/23-12:18:02,5.10,28.10,3
2021/01/23-12:18:03,4.90,26.80,3
