time,pm2.5,pm10,pressure,temperature,humidity,co2,tvoc,fan
2021/02/12 16:47:18,-1,-1,1010.25,22.76,25,0,0,3
2021/02/12 16:47:20,0.60,1.20,1010.17,23.1,25,0,0,3
2021/02/12 16:47:22,0.60,1.10,1010.22,23.3,21,0,0,3
2021/02/12 16:47:23,0.60,1.10,1010.13,23.3,23,0,0,3
2021/02/12 16:47:24,0.60,1.10,1010.21,22.89,26,0,0,3
2021/02/12 16:47:26,0.60,1.10,1010.5,23.23,23,0,0,3
2021/02/12 16:47:27,0.60,1.10,1010.23,22.91,24,0,0,3
2021/02/12 16:47:28,0.60,1.10,1010.13,23.7,22,0,0,3
2021/02/12 16:47:29,0.60,1.00,1010.21,23.81,24,0,0,3
2021/02/12 16:47:31,0.60,1.10,1010.17,22.96,23,0,0,3
2021/02/12 16:47:32,0.60,1.10,1010.2,23.5,22,0,0,3
2021/02/12 16:47:33,0.60,1.10,1010.13,22.94,23,0,0,3
2021/02/12 16:47:34,0.60,1.10,1010.16,23.18,23,0,0,3
2021/02/12 16:47:36,0.60,1.20,1010.19,23.1,23,0,0,3
2021/02/12 16:47:37,0.60,1.20,1010.12,23.7,23,0,0,3
2021/02/12 16:47:38,0.60,1.20,1010.25,23.0,26,0,0,3
2021/02/12 16:47:40,0.60,1.20,1010.1,23.23,19,0,0,3
2021/02/12 16:47:41,0.60,1.00,1010.16,22.87,22,0,0,3
2021/02/12 16:47:42,0.60,1.00,1010.12,23.0,24,0,0,3
2021/02/12 16:47:43,0.60,1.00,1010.15,23.0,24,0,0,3
2021/02/12 16:47:45,0.70,1.10,1010.3,23.1,24,0,0,3
2021/02/12 16:47:46,0.70,1.10,1010.17,23.18,23,0,0,3
2021/02/12 16:47:47,0.70,1.10,1010.25,23.23,25,0,0,3
2021/02/12 16:47:49,0.70,1.10,1010.19,22.96,21,0,0,3
2021/02/12 16:47:50,0.70,1.10,1010.27,23.7,26,400,0,3
2021/02/12 16:47:51,0.60,0.90,1010.7,23.5,23,400,0,3
2021/02/12 16:47:52,0.60,0.90,1010.12,23.7,25,400,0,3
2021/02/12 16:47:54,0.60,0.80,1010.19,22.94,23,400,0,3
2021/02/12 16:47:55,0.60,0.80,1010.2,23.1,23,400,0,3
