time,pm2.5_pre,pm10_pre,pm2.5_post,pm10_post,pressure,temperature,humidity,co2,tvoc,fan
2021/02/19 19:04:30,0.2,0.2,0.3,2.1,1004.98,-1,-1,0,0,3
2021/02/19 19:04:33,0.2,0.2,0.3,1.8,1004.99,-1,-1,0,0,3
2021/02/19 19:04:37,0.2,0.2,0.3,2.3,1004.85,-1,-1,0,0,3
2021/02/19 19:04:41,0.2,0.2,0.3,2.0,1004.92,-1,-1,0,0,3
2021/02/19 19:04:44,0.2,0.2,0.3,1.4,1005.4,-1,-1,0,0,3
2021/02/19 19:04:48,0.2,0.2,0.3,1.6,1004.87,-1,-1,0,0,3
2021/02/19 19:04:52,0.2,0.2,0.3,2.3,1004.84,-1,-1,0,0,3
2021/02/19 19:04:55,0.2,0.3,0.3,2.4,1004.82,-1,-1,0,0,3
2021/02/19 19:04:59,0.2,0.3,0.3,2.4,1004.93,-1,-1,400,0,3
2021/02/19 19:05:02,0.2,0.3,0.4,2.5,1004.95,-1,-1,400,0,3
2021/02/19 19:05:06,0.2,0.3,0.3,1.9,1004.94,-1,-1,400,0,3
2021/02/19 19:05:10,0.2,0.4,0.3,1.8,1004.9,-1,-1,400,0,3
2021/02/19 19:05:13,0.2,0.5,0.3,1.8,1004.83,-1,-1,400,0,3
2021/02/19 19:05:17,0.2,0.6,0.4,1.2,1004.95,-1,-1,400,0,3
2021/02/19 19:05:21,0.2,0.6,0.4,0.6,1004.92,-1,-1,400,0,3
2021/02/19 19:05:24,0.3,0.6,0.4,0.5,1004.97,-1,-1,400,0,3
2021/02/19 19:05:28,0.3,0.7,0.3,0.5,1004.86,-1,-1,400,0,3
2021/02/19 19:05:32,0.3,0.8,0.3,0.6,1004.95,-1,-1,400,0,3
2021/02/19 19:05:35,0.3,0.8,0.4,0.6,1004.92,-1,-1,400,0,3
2021/02/19 19:05:39,0.3,0.8,0.4,1.2,1004.97,-1,-1,400,0,3
2021/02/19 19:05:42,0.3,0.7,0.4,1.2,1004.93,-1,-1,400,0,3
2021/02/19 19:05:46,0.3,0.6,0.3,1.2,1004.92,-1,-1,400,0,3
2021/02/19 19:05:50,0.3,0.5,0.3,1.0,1004.84,-1,-1,400,0,3
2021/02/19 19:05:53,0.2,0.5,0.3,1.1,1004.95,-1,-1,400,0,3
2021/02/19 19:05:57,0.2,0.5,0.2,1.1,1005.0,-1,-1,400,0,3
2021/02/19 19:06:01,0.2,0.5,0.2,1.0,1004.9,-1,-1,400,0,3
2021/02/19 19:06:04,0.2,0.4,0.2,1.0,1005.1,-1,-1,400,0,3
2021/02/19 19:06:08,0.2,0.4,0.2,1.1,1005.0,-1,-1,400,0,3
2021/02/19 19:06:12,0.2,0.4,0.3,0.6,1004.9,-1,-1,400,0,3
2021/02/19 19:06:15,0.2,0.4,0.3,0.6,1005.4,-1,-1,400,0,3
2021/02/19 19:06:19,0.2,0.5,0.3,0.7,1004.82,-1,-1,400,0,3
2021/02/19 19:06:22,0.2,0.6,0.3,0.6,1004.86,-1,-1,400,0,3
2021/02/19 19:06:26,0.3,0.4,0.3,0.5,1004.99,-1,-1,400,0,3
2021/02/19 19:06:30,0.2,0.4,0.3,0.5,1004.95,-1,-1,400,0,3
2021/02/19 19:06:33,0.2,0.4,0.3,0.6,1004.97,-1,-1,400,0,3
