time,pm2.5_pre,pm10_pre,pm2.5_post,pm10_post,pressure,temperature,humidity,co2,tvoc,fan
2021/02/27 21:13:50,3.4,8.5,3.4,13.3,-1,-1,-1,-1,-1,0.2
2021/02/27 21:13:51,3.8,7.4,3.5,13.1,-1,-1,-1,-1,-1,0.2
2021/02/27 21:13:52,3.9,6.4,4.2,14.7,-1,-1,-1,-1,-1,0.2
2021/02/27 21:13:53,3.7,6.1,6.8,23.8,-1,-1,-1,-1,-1,0.2
2021/02/27 21:13:55,3.8,6.0,10.6,32.4,-1,-1,-1,-1,-1,0.2
2021/02/27 21:13:56,3.9,5.6,11.5,35.5,-1,-1,-1,-1,-1,0.2
2021/02/27 21:13:57,4.1,5.6,12.7,42.4,-1,-1,-1,-1,-1,0.2
2021/02/27 21:13:58,4.1,5.5,17.2,74.7,-1,-1,-1,-1,-1,0.2
2021/02/27 21:13:59,4.1,5.4,23.9,123.7,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:00,4.1,5.2,34.0,171.1,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:01,4.4,6.0,38.6,197.6,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:02,4.5,5.9,44.6,228.6,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:03,4.5,5.8,49.9,256.8,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:05,4.6,5.7,56.5,284.6,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:06,4.6,5.5,67.4,323.1,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:07,4.7,5.5,87.6,392.5,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:08,4.8,5.5,97.0,424.4,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:09,4.8,5.4,104.5,451.6,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:10,4.8,5.4,111.5,476.4,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:11,4.8,5.4,116.3,496.4,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:13,4.8,5.4,121.0,513.0,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:14,5.5,6.9,129.1,542.6,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:15,6.4,10.1,130.3,549.5,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:16,7.3,14.4,130.9,553.0,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:17,7.6,14.9,131.8,556.0,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:19,7.6,14.6,135.8,573.5,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:20,7.9,14.6,143.6,607.6,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:21,7.9,14.7,146.1,617.4,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:22,8.0,14.8,148.0,625.7,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:23,8.0,14.8,149.2,632.8,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:25,8.0,14.8,149.7,639.1,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:26,9.4,21.3,151.2,649.2,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:27,9.6,22.0,151.4,649.6,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:28,10.0,23.4,150.7,642.0,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:29,10.6,25.6,148.6,624.8,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:31,11.1,27.2,144.5,605.0,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:32,10.9,27.2,139.3,576.1,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:33,10.9,27.2,136.0,556.6,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:34,10.8,27.3,131.4,536.8,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:35,10.8,27.3,124.0,508.0,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:36,10.8,27.5,116.8,480.4,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:38,11.0,27.9,107.9,448.2,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:39,11.0,28.6,99.3,417.2,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:40,11.0,28.7,84.0,358.3,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:41,11.0,28.9,77.6,331.6,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:42,11.1,29.1,70.9,305.4,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:43,10.7,28.1,63.9,280.2,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:44,10.5,27.8,58.2,258.8,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:45,9.7,25.0,54.0,242.2,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:46,8.8,21.0,50.7,228.1,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:47,9.0,21.8,46.5,211.6,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:49,8.8,22.0,43.9,201.0,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:50,8.8,22.2,38.4,176.7,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:51,8.8,22.3,37.0,170.3,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:52,8.8,22.7,36.5,168.2,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:53,8.9,22.8,36.1,165.4,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:55,8.5,20.8,35.9,163.9,-1,-1,-1,-1,-1,0.2
2021/02/27 21:14:56,7.7,16.8,35.8,163.1,-1,-1,-1,-1,-1,0.2
