time,pm2.5_pre,pm10_pre,pm2.5_post,pm10_post,pressure,temperature,humidity,co2,tvoc,fan
2021/03/01 11:05:35,15.7,150.8,7.1,64.4,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:36,17.1,161.4,6.8,76.5,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:37,17.5,173.5,7.0,73.4,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:38,18.3,170.1,7.0,68.7,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:39,17.9,160.6,7.1,73.5,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:41,17.7,160.3,7.1,75.4,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:42,17.4,158.4,7.2,76.1,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:43,17.6,157.4,7.4,72.7,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:44,18.3,162.0,7.2,71.5,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:45,19.3,166.0,7.2,73.5,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:46,19.9,172.1,7.2,78.5,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:48,19.6,173.2,7.2,75.2,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:49,19.5,171.8,7.2,78.6,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:50,19.4,168.9,7.2,78.3,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:51,19.2,167.0,7.2,78.5,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:52,19.6,170.0,7.3,78.6,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:53,19.8,168.1,7.2,77.7,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:54,19.9,171.7,7.0,75.6,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:55,20.2,180.6,7.1,74.4,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:56,20.5,184.1,7.2,77.7,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:57,20.2,183.7,7.2,77.7,-1,-1,-1,-1,-1,0.2
2021/03/01 11:05:59,20.3,184.5,7.1,75.8,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:00,20.3,181.8,7.1,76.0,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:01,20.2,180.5,7.1,76.5,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:02,20.2,178.5,7.4,76.4,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:03,20.4,178.8,7.4,76.5,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:04,20.6,182.5,7.3,77.1,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:06,20.6,180.7,7.4,76.7,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:07,20.6,178.7,7.3,76.6,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:08,20.7,178.9,7.4,77.3,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:09,20.8,180.1,7.3,76.1,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:10,21.1,180.9,7.5,76.2,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:12,21.4,180.6,7.5,75.7,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:13,21.4,184.8,7.4,76.7,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:14,21.2,183.4,7.4,79.0,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:15,20.8,181.3,7.5,78.8,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:16,20.9,182.3,7.3,74.5,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:18,21.2,183.4,7.5,77.6,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:19,21.2,184.6,7.5,74.5,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:20,21.3,187.0,7.5,74.2,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:21,21.4,187.8,7.5,73.3,-1,-1,-1,-1,-1,0.2
2021/03/01 11:06:22,21.0,188.0,7.3,70.8,-1,-1,-1,-1,-1,0.2
