time,pm2.5_pre,pm10_pre,pm2.5_post,pm10_post,pressure,temperature,humidity,co2,tvoc,fan
2021/03/01 14:54:24,1.4,10.8,1.1,5.6,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:25,1.7,9.0,1.1,10.4,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:26,1.6,9.8,1.3,9.7,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:27,1.8,13.8,1.4,9.7,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:28,1.9,15.1,1.3,14.4,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:30,2.0,14.0,1.2,17.0,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:31,2.1,13.2,1.2,15.5,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:32,2.0,12.2,1.2,14.9,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:33,2.0,12.3,1.2,14.0,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:34,2.0,11.5,1.2,13.3,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:35,2.0,10.7,1.2,12.5,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:37,2.0,10.1,1.2,11.4,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:38,1.9,9.8,1.3,11.5,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:39,1.9,10.1,1.3,10.9,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:40,1.9,9.6,1.2,10.4,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:41,1.9,9.3,1.2,10.8,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:42,1.9,9.1,1.2,10.8,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:43,1.9,9.3,1.2,10.3,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:44,1.9,9.1,1.2,11.2,-1,-1,-1,-1,-1,0.2
2021/03/01 14:54:45,2.0,8.9,1.2,10.7,-1,-1,-1,-1,-1,0.2
