time,pm2.5_pre,pm10_pre,pm2.5_post,pm10_post,pressure,temperature,humidity,co2,tvoc,fan
2021/03/25 12:23:27,14.8,22.1,3.8,9.2,1008.33,22.8,47,0,0,46
2021/03/25 12:23:30,14.7,21.5,3.8,8.9,1008.33,22.62,42,0,0,45
2021/03/25 12:23:31,14.6,21.4,4.0,9.0,1008.23,22.58,43,0,0,45
2021/03/25 12:23:33,14.5,20.9,4.1,9.2,1008.25,22.44,45,0,0,44
2021/03/25 12:23:35,14.5,20.7,4.3,9.3,1008.43,22.67,44,0,0,45
2021/03/25 12:23:37,14.3,20.6,4.3,9.5,1008.34,22.65,43,0,0,44
2021/03/25 12:23:38,14.4,20.6,4.4,9.8,1008.41,22.71,45,0,0,44
2021/03/25 12:23:39,14.2,20.4,4.5,10.0,1008.3,22.91,48,0,0,44
2021/03/25 12:23:41,14.1,20.4,4.7,10.7,1008.29,22.62,41,0,0,44
2021/03/25 12:23:42,14.0,19.3,4.8,10.9,1008.2,22.65,44,0,0,43
2021/03/25 12:23:44,14.0,19.5,4.9,10.9,1008.32,22.8,45,0,0,44
2021/03/25 12:23:45,13.9,19.4,4.9,11.0,1008.37,22.65,45,0,0,43
2021/03/25 12:23:46,13.9,19.1,5.0,10.4,1008.36,22.74,47,0,0,43
2021/03/25 12:23:47,13.8,18.7,5.0,10.4,1008.35,22.67,46,0,0,43
2021/03/25 12:23:48,13.7,18.2,5.1,10.8,1008.33,22.67,45,0,0,43
2021/03/25 12:23:50,13.7,18.4,5.3,11.5,1008.27,22.69,46,0,0,43
2021/03/25 12:23:51,13.8,18.3,5.3,11.5,1008.33,22.69,45,0,0,43
2021/03/25 12:23:53,13.7,18.1,5.3,11.6,1008.35,22.69,45,0,0,43
2021/03/25 12:23:54,13.6,18.3,5.3,11.7,1008.26,22.78,43,0,0,43
2021/03/25 12:23:55,13.9,18.6,5.4,11.7,1008.31,22.71,46,0,0,44
2021/03/25 12:23:56,13.7,18.4,5.5,11.8,1008.3,22.76,46,0,0,43
2021/03/25 12:23:58,13.7,18.5,5.7,11.8,1008.33,22.8,45,0,0,43
2021/03/25 12:23:59,13.7,18.7,5.7,11.9,1008.36,23.27,45,0,0,43
2021/03/25 12:24:01,13.9,19.1,5.8,12.0,1008.35,22.73,40,0,0,43
2021/03/25 12:24:02,13.9,19.3,5.9,12.5,1008.34,22.65,45,400,0,43
2021/03/25 12:24:03,13.9,19.6,5.9,12.3,1008.34,22.69,43,400,0,43
2021/03/25 12:24:05,13.8,19.7,5.9,12.8,1008.31,22.74,47,400,0,43
2021/03/25 12:24:06,13.9,19.6,5.8,12.6,1008.35,22.92,45,400,0,43
2021/03/25 12:24:07,14.0,20.0,5.9,12.6,1008.3,22.62,45,400,0,44
2021/03/25 12:24:09,14.0,19.9,5.8,12.3,1008.34,22.78,44,400,0,44
2021/03/25 12:24:10,14.1,19.9,5.8,12.1,1008.36,22.92,48,400,0,44
2021/03/25 12:24:12,14.0,20.1,5.8,12.0,1008.48,22.64,45,400,0,43
2021/03/25 12:24:13,14.2,20.4,5.5,11.4,1008.31,22.8,43,400,0,44
2021/03/25 12:24:14,14.4,20.6,5.4,11.4,1008.44,22.69,44,400,0,44
2021/03/25 12:24:16,14.6,20.8,5.6,12.1,1008.41,22.85,46,400,0,45
2021/03/25 12:24:17,14.6,20.5,5.6,12.5,1008.51,22.8,44,400,0,45
2021/03/25 12:24:18,14.6,20.7,5.6,12.5,1008.44,22.91,46,400,0,45
2021/03/25 12:24:20,14.5,20.8,5.6,11.9,1008.37,22.74,43,400,0,44
2021/03/25 12:24:21,14.4,20.8,5.5,11.9,1008.35,23.1,39,400,0,44
2021/03/25 12:24:22,14.5,21.2,5.4,11.6,1008.35,22.96,45,400,0,45
2021/03/25 12:24:24,14.4,20.7,5.4,11.3,1008.46,22.69,43,400,0,44
2021/03/25 12:24:25,14.0,20.3,5.4,11.4,1008.44,22.42,42,400,0,43
2021/03/25 12:24:26,14.0,19.9,5.3,11.5,1008.38,22.82,44,400,0,44
2021/03/25 12:24:28,13.9,19.8,5.2,11.5,1008.46,22.83,45,400,0,43
2021/03/25 12:24:29,13.9,20.0,5.2,11.4,1008.4,22.76,44,400,0,43
2021/03/25 12:24:30,13.8,19.9,5.1,11.4,1008.45,22.73,46,400,0,43
2021/03/25 12:24:32,13.6,19.0,5.0,11.3,1008.48,22.89,46,400,0,43
2021/03/25 12:24:33,13.6,18.8,4.8,10.5,1008.37,22.64,44,400,0,43
2021/03/25 12:24:34,13.6,19.1,4.7,10.0,1008.3,22.74,43,400,0,43
2021/03/25 12:24:35,13.6,20.1,4.7,10.0,1008.47,22.53,44,400,0,43
2021/03/25 12:24:37,13.6,20.8,4.8,10.0,1008.41,22.83,43,400,0,43
2021/03/25 12:24:38,13.5,20.5,4.7,9.9,1008.42,22.76,43,400,0,42
2021/03/25 12:24:39,13.6,20.5,4.7,10.0,1008.39,22.71,45,400,0,43
2021/03/25 12:24:40,13.4,20.3,4.6,9.7,1008.38,22.53,43,400,0,42
2021/03/25 12:24:41,13.5,20.3,4.7,9.8,1008.52,22.71,42,403,0,43
2021/03/25 12:24:43,13.4,20.1,4.7,9.8,1008.53,22.46,41,403,0,42
2021/03/25 12:24:44,13.0,20.0,4.9,10.6,1008.43,22.67,43,403,0,41
2021/03/25 12:24:45,12.9,20.2,4.8,9.9,1008.43,22.64,44,403,0,41
2021/03/25 12:24:47,12.8,20.3,4.8,10.0,1008.39,22.53,45,403,0,41
